,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2477,mutual-1160-triplet-3,0,"What does 'car broke down' cause?","hi , mark , how was the camping ? it was great in the end , but we had a terrible time at the beginning . why ? first , we left the house early on saturday morning , but after only half an hour my car broke down . oh , no . fortunately , there was a garage nearby , and the repairman fixed the problem . but when we arrived at the forest , it was getting dark . we drove around the forest for about an hour and finally found the camp side . but it was completely dark by then . unfortunately , it started raining , so we drove down the road for 2 hours and found a hotel . ",causes,gen,"the repairman fixed the problem","how was the camping","it was getting dark","when we arrived at the forest , it was getting dark",3
3051,dream-0322-triplet-3,0,"What desire is caused by 'The Capital Building caught on a big fire'?","What are you doing, Mary? I am cooking the dinner, John. Oh. Look! The Capital Building caught on a big fire today. What? How about the people in the building? More than 220 people were killed and the building was destroyed. It must have taken the fire fighters a long time to put it out. Yes, they spent about five hours putting it out. Hm, what a strange smell! Oh, I forgot the food cooking on the fire! Be quick! Turn the gas off. You should be careful next rime, otherwise you'd have our house on fire! ",causes desire,gen,"big fire","smell","putting it out","Look",2
2119,mutual-0021-triplet-1,0,"What is 'keep healthy' obstructed by?","all you do all day is working and watching tv . you really should start thinking about exercising . i never thought about that . but you 're right . i should start doing more outdoor activities . keep healthy",obstructed by,gen,"working","keep healthy","outdoor activities","that",0
2313,mutual-1039-triplet-3,0,"What does 'so hot' cause?","hey , warren . do you want to go to the beach today ? i am sorry , fatima . since it 's so hot , i 'm thinking about going to the shopping centre instead . that sounds good . can i join you ? sure . let me go home first to have a shower . then let 's hit the center . ",causes,gen,"good","hit the center","sorry","going to the shopping centre",3
1971,dream-0049-triplet-4,0,"What does 'feel sick' cause?","Doctor! Doctor! Help me, please! Take it easy, please! Sit here, now, what's the matter with you? And can I help you? I feel sick. I have a bad stomach-ache, and my head troubles me a lot. Well, let me have a check. Open your mouth please. And say 'Ah'. Ah! Is that serious, doctor? Not really. Did you have your supper this evening? No, I only had some bananas. And the bananas were not quite ripe, fight? Well, yes, they were a bit green. That explains it. I wish I had not eaten them. Take this medicine twice a day and I'm sure you'll be fine. Thanks, doctor. I'll do as you told me. Good-bye, doctor. Bye! And take care. ",causes,gen,"Ah","feel sick","Help me, please","you'll be fine",2
3572,dream-0832-triplet-5,0,"What does 'pubs' have?","What are pubs? Pubs in England are friendly and warm places where you can have a drink and usually a simple meal. What kind of drinks do people get? You can get wine and beer in most pubs. Many also serve coffee. You go to the counter to order and pay for your drinks. When do people go to the pubs? Pubs are not open all day. They can decide when to open. Most are open for 3 or 4 hours at lunchtime and again from about 6:00 p.m. to 11:00 p.m. In busy areas, pubs may stay open from 11:00 a.m. to 11:00 p.m. Are there pubs in China? Yes. Most of the customers are young people. They like to hang out with their friends after work and have fun. It is against the law in England to go into a pub if you are under the age of l4. So many pubs provide a special room for children. ",has a,gen,"wine","lunchtime","under the age of l4","Pubs are not open all day",0
2263,mutual-1007-triplet-3,0,"What does 'rained the whole time' cause?","hey , kathy . nice to see you . i just had the worst weekend of my life up in california 's wine country . it rained the whole time . how was your weekend ? i saw beyonce and jay-z in concert together . it cost about $ 200 , but it was worth every penny . The concert was good a good weekend",causes,gen,"nice to see you","the worst weekend of my life","hey , kathy","worth every penny",1
128,daily-dialogue-1066-triplet-6,0,"What is implied by 'make a lot of money'?","Great ! I landed on Classic Movies . I didn't know you liked old movies . I love them , especially the all-time greats like Gone With the Wind . You're so right ! Today's movies are just too commercial ! Sometimes I think Oscars are only awarded to movies that make a lot of money . ",implies,gen,"too commercial","Great","Oscars are only awarded to movies that make a lot of money","so right",0
3926,dream-0486-triplet-6,0,"What prerequisite does 'some details I want to discuss with him' have?","Good afternoon! Dr. Perkins' office. Good afternoon. I'd like to speak to the doctor. Is he in? Who is that calling, please? My name is Li Hong. I'm from China. I'm sorry. Dr. Perkins is now at an important meeting and can't answer your call. I'm an exchange scholar. Dr. Perkins asked me to give a lecture. There are some details I want to discuss with him. I see, but you must speak to himself about that. Oh, well, if you leave your number, I'll tell him to ring you as soon as he is available. Thanks. My number is 7838298. ",has prerequisite,gen,"calling","speak to himself","call","Li Hong.",1
3675,dream-0855-triplet-2,0,"What is implied by 'look terrible'?","What's the matter, Paul? You look terrible. I've just taken my chemistry exam and I'm pretty sure I failed it. I don't know where the professor got some of those questions. I don't see how in the world I could pass. Come on now. You've been doing very well all year long. It's not very likely you'd suddenly forget everything. Oh, by the way, have the physics grades been posted yet? I didn't go and look. I was so busy worrying about chemistry. Do you think there's any possibility of me passing for the year if I fail the final? Sure there is. It's the average that is important. Come on. Just relax. How about having a cup of coffee? ",implies,gen,"Come","not very likely you'd suddenly forget everything","What's the matter","I failed it",3
453,dream-0209-triplet-1,0,"What prerequisite does 'go to the store' have?","I'd like to pay a visit to the Smiths at 3:30 p.m. Will you go with me, Mary? I'd love to, but I won't be off work from my factory until 4:00 p.m. How about 4:15? I'll be free then, Jack. OK. Let's meet at the bus stop and take the No.5 bus to go there. Why not by bike? The bus would be crowded at that time. But my bike is broken. You can use your sister's new bike, can't you? Yes. I'll wait for you in front of the bookstore opposite the cinema. go to the store take the bike",has prerequisite,gen,"be off work","bike is broken","bike","pay a visit to the Smiths at 3:30 p.m. Will you go with me",0
